review,Titre
"*slight spoliers* Another brilliant memorable flick from Scorsese, the director really does not know how to do mediocrity. De Niro is fantastic as always and his portrayal as the sociopathic calculated William Hale ranks as one of his most despicable characters in his acting career. Leonardo also plays the ever pliable Ernest well. It’s a long runtime but it never gets dull, I feel the 3 hour plus runtime was justified as it immerses you into the story well. It is a very melancholy film, it’s terrible what some humans will do to one another in the name of greed. A masterpiece of a film that would probably sit in the number 1 spot for films I’ve seen this year.",killerofthemoon
"Good film from beginning to end, I still personally like some of his other movies more though. Scorsese is the best biopic director ever, I truly think so.",killerofthemoon
"Not as impressed as I thought I might be with the movie, especially after reading the book and being very impressed with it. This is indeed a tragic story and obviously a little known tragic story, but people go to the movies to be entertained so it's hard to think of this as entertainment. It's almost like a forced history lesson. I thought it was too long and belabored. The level of corruption and evil it took to systematically defraud and murder on the part of all of those involved is almost unbelievable. Martin Scorcese's heart is in the right place in bringing the book to light but I don't know that it got the job done.",killerofthemoon
"I have been waiting almost a year to watch this film. Still only available to purchase a digital copy for 24.99 cad, which they can take from you as they feel like. I want to rent. I don't want to buy. It was released last year. The GREED OF APPLE IS WILD. Guess I'll be pirating. Thx.",killerofthemoon
"Based on a true story, Scorsese’s latest outing tells the tale of a 1920’s Oklahoma family that tries to “inherit” Osage Indian land by marrying the landowners and then murdering them. This was news to me, but yeah, that really happened. Apparently, something like 60 Osage Indians were murdered over the course of a decade in these schemes, leading the U.S. Government to change laws regarding inheritance of Native American land. Unfortunately, the film is just too damn long. Clocking in at three and a half hours, it takes an interesting premise and just drags it out to the point of being boring. This seems to be an unexpected consequence of the streaming era. In the old days, studios were a lot more demanding with filmmakers when it came to runtime. This ensured they could get as many daily showings in a cinema as possible. With more viewers waiting to stream films, runtime seems to be less important to studios, allowing filmmakers to indulge to the detriment of their own films. Leaving an hour of this one on the cutting room floor would have benefited this film immensely.",killerofthemoon
"Speechless but not in a good way. The brutal story of how the Natives were victims of American colonialism and genocide needs to be told. However, I do not think this film did it justice. While it showed how truly awful people can be, well that’s all it shows. Only in the last 5 minutes showed the resilience of Osage people. The rest of the film is them getting gruesomely murdered, swindled, and being bred/married for money and to be ethnically cleansed/killed by their spouses. All the characters were truly one-dimensional with De Niro being as solely heinous and egomaniacal as the devil himself, and DiCaprio being very seemingly stupid and having no redeeming qualities. [SPOILERS AHEAD] … He goes along with and participates without needing much coercion from De Niro. He seemingly never has a moral dilemma to be honest to his wife or at least not POISON her. Sure he acted sweet in front of her while behind her back he was committing evil acts but to me it makes him less likable. Not only is he a murderous thief, he pretends to be a sweet loving husband while killing her family. The gratification of seeing justice to the bad guys is overshadowed by the long run time and unfortunately is not gratifying at all. We see Lily Gladstone’s character finally show some resistance to DiCaprio in the very end, and I like how she just walked away with poise, it was true to her character, but honestly she deserved much more. I cannot believe she didn’t kill him in that field but embraced him. There was no way she did not know he was guilty at that point. Particularly because she was well enough to meet him in the field. I know “rose colored glasses” but he was never that great of a husband and he killed your family and tried to kill you. She knew this I believe, otherwise that would make her very ignorant. She is the ultimate victim who loses truly everything. We only hope her life after this was peaceful, but we don’t know for sure. All we get is a obituary. We don’t know what became of the Osage people or how they fought back. Or how we could support indigenous people today",killerofthemoon
"This is an important story, and it will certainly reach a wider audience as a DiCaprio film than as a documentary. That said, it's not the kind of movie you want to reach for unless you're in the mood to be mad about real life injustices.",killerofthemoon
"Read the book first. I was disappointed in the movie. They spend so much time on all the murders, that they skipped over the FBI portion. The murders were important but so was the investigation.",killerofthemoon
Very slow. Scorsese did a nice job with the scenery/set but this movie did not live up to the hype of his previous movies. Waiting for the next Scorcese film which is always a must see.,killerofthemoon
Killer Of The Flower Moon is a lengthy but also interesting true-crime movie about a massacre that people need to remember and be told about because of it still happening to this very day behind closed doors. Because genocide happening all over the world at this very moment! Movies like this are need now more than ever. With great acting especially from Lily Gladstone with her bringing this devastating performance as she watch her tribe and family be killed around her slowly with her having no one left expect her husband only for Ernest to backstab her and slowly poison her with insulin since he puts,killerofthemoon
"I found this to be a well acted and engaging film, but WAYYY too long. In the end, the film commits the greatest crime any screenplay can commit, and that is a series of characters that you really don't care about one bit. Nobody to root for, nobody to root against, The story is good, the historical context is excellent, but you eventually discover that you don't care what happens to any of them, and after three plus hours, that leaves you feeling cheated. Worth a viewing, ONCE.",killerofthemoon
too drawn out way too long reminded me of the irishman took me 2 nights to finish good acting weird ending ok film to watch on apple tv ok worth watching once,killerofthemoon
Although 3 and 1/2 hours we split it over two nights. Such a great cast. Leonardo did a tremendous performance. And Lily Gladstone was standout.,killerofthemoon
This is a crime movie from a director who has given us many crime movies. This is one is similar in some ways to his last films but is wrapped in a completely different cloth in a way that is refreshing and intriguing,killerofthemoon
"Probably the worst movie I’ve seen since Covid. I normally love Leonardo DiCaprio in movies, but he put himself (or someone put him) in the wrong role in this one. The absolute worst acting was from Robert De Niro though. I’ve seen better acting in high school plays. Probably time to retire. The story is one that needed to be told in a movie because I don’t think many are aware of what happened to the Osage in Oklahoma.",killerofthemoon
"Iba con las expectativas muy altas y me ha decepcionado un poco. Las 3h y media no están justificadas, hay mucho relleno y la tama se desarrolla algo lenta. Los escenarios y los efectos especiales están bien conseguidos.",killerofthemoon
"This 3.5 hour movie should've been 2.5 hours, AT MOST. Scorcese really burries the lead with a lot of wasted time on conversations that do not matter, and could've been cut in half. The real plot of the movie really doesn't take off until 55 minutes into the movie, which leaves you feeling baffled that nearly an hour's gone by without cutting to the chase yet. Also, the intentions of Leo's character are baddly muddled. What's going on between he, Deniro, and the forgettable cowboy characters is laid out for the audience, but the mindset of the main character between his allegiances is badly obscured. It's frustrating.",killerofthemoon
Great acting my everyone. Leonardo gave me chills with his dark character. One of Apples best piece of work in theatre. I saw on IMAX and everything about it was perfect.,killerofthemoon
"O filme é muito bom, as várias horas presente no filme é explicado pela narrativa do filme, ele é lento porque precisa ser lento. A história contado no filme é muito interessante. Recomendo.",killerofthemoon
"The first 2 or 3 minutes were interesting and all. Then, while the film has barely even begun, a montage of people dancing pops up. It's not accompanied by credits or any helpful information about the backstory, just music and dancing. I can't critique the rest of the film because I have no tolerance for this nonsense. I thought maybe the 3+ hour runtime might have been justified by a *story* that required that much time to tell. That may have been mostly true, but I'm not going to ffw a film just to ""get to the good parts"". That's basically selfserve censorship. I don't believe in censorship, not because violence, nudity and cussing are necessary to be included, but because they're part of the filmmaker's manner of communicating with the audience. If I'm in the middle of saying something and I get interrupted for using a word someone doesn't like, I'm probably going to just quit talking. If a movie is truly worth making, it should not be censored. If it's not worth making... Well, that's entirely subjective, but bottom line is I'm giving this film 3 stars for the benefit of the doubt because selfserve censorship is the only thing that could make this film tolerable.",killerofthemoon
"O filme me surpreendeu positivamente, atuação e fotografia impecáveis, a duração do filme não foi um incomodo como eu imaginei, diálogos muito bem construídos, uma história real muito bem contada, recomendo.",killerofthemoon
"Oppenheimer won all the Oscars, but in my opinion, this was the finest film of 2023 and will be looked back at as one of the films of the decade, much like 'Munich' was retrospectively viewed in the 00s.",killerofthemoon
"Scorcese has an incredible knack for crime-drama that will forever influence the genre. Here we have an overlong epic that does excuse it's length with top-notch storytelling and performances. Dicaprio's simpleton ought not to have been overlooked by the Academy. It's one of his strongest performances with subtle character acting that really shines. Lily Gladstone is stoic and sweet, you instantly care about her character very much which makes the business of her slow, painful death after witnessing the tragic deaths of her family members incredibly engaging and challenging. Any drama with something to say should challenge you. Robert Deniro is also top-form here as a manipulative, power hungry man who puppeteers murders and wipes his hands clean with the callous menace that only an actor of his caliber could convey. It could have been tightened up, however, easily 30 minutes could have gone from the film bringing it to a more acceptable 3 hour runtime.",killerofthemoon
